"","ID","sentence","Xmean","YMean","n","Xsd","Ysd"
"82",82,"We stayed there in the garden and saw men in uniforms with weapons coming from all sides toward us, and we were really  surprised  because I personally really never expected that the moment would ever come when I would have to run away in form of someone when I never did anything wrong or evil to anyone.",24,27,10,18.9736659610103,9.48683298050514
"83",83,"That here were people who fought for freedom, who were willing to be tortured and go to jail and give up their lives and yet did n't speak up once they were in power against a policy which they  knew  in their heart of hearts, must be wrong.",28,16,10,6.32455532033676,25.0333111406914
"84",84,"If I could reach him to make some sort of record, so he can, maybe he doesn't  know  about me and I hope that that man would help me, so they could give me a prefab home, some land to maintain, something to keep me occupied and so.",3,-7,10,17.6698110409314,8.23272602348564
"85",85,"So we had to get him out, pour water on him,  give  him water, the man was yellow, yellow from fear.",20,21,10,19.436506316151,15.2388392675499
"86",86,"You know, every so often  events  would happen that required help of others, resourcefulness of one's own to survive, I mean, I would be on a train let's say, and somebody would recognize me, who had known me from the town, cause it wasn't all that far, I mean, and would yell at me.",18,18,10,13.1656117720877,13.1656117720877
"87",87,"I gather iron, I  gather  all sort of things and sell them, I manage somehow.",30,30,10,0,0
"88",88,"We had a couple of people stop us complaining about chest pain, asthma, couple of pregnant people, mostly about 2 or 3 couples were  throwing  their kids at us, they wanted to get the kids inside.",27,21,10,6.74948557710553,19.1195071996
"89",89,"Uh, they said uh, ` ` Oh, you not going to go home, you're  going  to go the H Kommando,'' that was the Himmel Kommando.",22.7272727272727,22.7272727272727,11,17.9392915639995,11.908743922773
"90",90,"You would get, needless to say, a couple of coffee breaks during the course of the day, because they were long  tours .",26,26,10,6.99205898780101,6.99205898780101
"91",91,"And if you see what has  happened  since 1994, okay, change has taken place.",30,30,10,0,0
"92",92,"I, at that point then went back to the car and grabbed the poison antidote kit out of the car, not knowing what to expect or what was next, came back to the site, and at that point, you know, the decision was made we were going to  split  up a little bit, and there were going to be some forward triage and treatment areas.",21.8181818181818,20,11,18.3402190925746,15.4919333848297
"93",93,"Even though our home is  crowded .",21.8181818181818,21.8181818181818,11,19.4000937204859,14.0129809949074
"94",94,"You said that after you got out you  had  many health and mental problems.",22.7272727272727,22.7272727272727,11,18.4883255547435,12.7207775634268
"95",95,"After three days they came to  search  the house and arrested all the guys and took them to Tunjice.",24.5454545454545,24.5454545454545,11,18.0906806746658,12.1355975243384
"96",96,"So, it  took  us sometime until it sank in and uh, we were conditioned to it.",24.5454545454545,24.5454545454545,11,18.0906806746658,12.1355975243384
"97",97,"We used to  go  meet them at certain places, carry messages, come back, organise, take direction and so on and we continued.",30,30,10,0,0
"98",98,"I was  like , you know what -- then an EMS lieutenant, I met up with her, and she was like, ` ` Oh, we have to go to Liberty Island . '.",8.46153846153846,8.46153846153846,13,25.1151195650992,13.4450448407296
"99",99," Regarding  the soldiers, they arrived in uniform and were executed either immediately after their confession, or the radiobroadcast of their confession.",7.27272727272727,12.7272727272727,11,26.4918512342604,14.893561757289
"100",100,"Duch, Chan, Tit, D k Bou, Meng, Pon, the five or six of them, they  tortured  -LSB- her -RSB- from 9 at night until three in the morning.",0,0,10,0,0
"101",101,"Then they loaded us again on the same, the same hotels and they took us out of this place -- you never knew where you were  going .",4.11764705882353,0,17,29.5928250445551,19.6850196850295
"102",102,"It was the interrogation of Koy Thuon by the order of Son Sen . For westerners, I assigned Comrade Pon to interrogate and -LSB- I -RSB- assigned Hor to select one of the victims who could speak fluent English to help  interpret .",22.6666666666667,18.6666666666667,15,10.3279555898864,16.8466472572297
"103",103,"I was fairly  headstrong , so I think they knew that, you know, if I wanted I would go ahead.",22.5,18.75,16,15.2752523165195,16.6833250083229
"104",104,"There were many wounded in my division, and when we met they said that many had been wounded when attacking L c Ninh, when they were surrounded from the rear and when they  broke , they had to attack back out, and they broke all along the way.",28,22.6666666666667,15,4.14039335605413,17.5119007154183
"105",105,"Well when I said I was under arrest that was in the second when I was  banned  a second time that was in 1978.",25,17.5,16,15.4919333848297,21.4476105895272
"106",106,"To  go  into a place and you look around and there are mainly white women, getting a spa, and you've never had anything like this, and the person who's doing it is a white person.",22.5,17.5,16,15.2752523165195,18.0739222823013
"107",107,"No, we got separated, at this point we got  separated  and we were so overwhelmed there was no time to look for somebody, you know because they put us in there, in, in the sitting, crouching position.",26.25,15,16,15,24.4948974278318
"108",108,"Maybe she didn't  realize  where I was going, because it was, we didn't know, maybe it was, we thought maybe it was for a day or two, maybe to work somewhere.",10,-6,15,17.7281052085584,15.9463385855724
"109",109,"I know my - well, firstly, my great-grandparents  came  from India.",30,30,15,0,0
"110",110,"I'll get his name but people like him, Terror, and a whole range of others - I  mean  we just lived together.",19.375,10,16,20.1556443707464,22.8035085019828
"111",111,"That I didn't know what I could  look  forward to if anybody might be, I had some hope that my father and my brother might have survived.",-2.5,-1.25,16,25.6904651573303,13.6014705087354
"112",112,"Because I remember one of them said once, ` ` Ma,'' Kenny, my younger one, he says, ` ` Mom, you are  going  down and you are taking me with you . '.",25.3333333333333,16,15,7.43223352957207,21.6465107712866
"113",113,"Since Nath's era, there were four types of torture that were  used  with the approval from Son Sen : One, beating the detainees with a stick, two electroshocks, three covering the head with a plastic bag to suffocate, and four covering the mouth and nose with a towel and pour cold water from a kettle.",30,18,15,0,24.8423601363247
"114",114,"Never mind, I won't win here, I'll take it outside, I'll  take  this lawsuit abroad.",28,14.6666666666667,15,5.60611910581388,25.3170373652286
"115",115,"Nobody  had  any idea.",13.75,-8.125,16,26.5518360947035,23.1570723538188
"116",116,"As I said, I came to change my clothes and in the morning at 4 o'clock I  got  up, at quarter to 5 the shooting started.",28.6666666666667,28.6666666666667,15,5.16397779494322,5.16397779494322
"117",117,"So at that time we started -- we began to, to see what's happening but we had no idea that they could just come up with mass scale  murder .",6.66666666666667,2.66666666666667,15,24.6885359939347,19.8086080374405
"118",118,"I gather iron, I gather all sort of things and sell them, I  manage  somehow.",15.2941176470588,14.7058823529412,17,22.3935389841645,15.4586735600211
"119",119,"I'll always  remember  that - okay young girls, they started joking with us and so on - they were joking with us and turn there to go and shoot people.",24.375,24.375,16,16.3171688720807,12.0933866224478
"120",120,"Since I saw the early debt of gratitude the Communist Party owed this group, which Nuon Chea recognized, and  comparing  the help given by myself and the both of them, mine was not one slice of theirs.",17.3333333333333,13.3333333333333,15,20.8623607302265,20.9307247388913
"121",121,"Secretary stenographer, so I had nice  job  and the second day he gave me, he took a German woman from the job and put a different, my good job what I had before with her, and he put me on her terrible job washing something terrible.",28,26.6666666666667,15,5.60611910581388,10.4653623694457
"122",122,"I used to make up stories, you  know , what the Germans did to me, and um, in Danzig when we were there.",18,19.3333333333333,15,20.4240754293274,15.3374735611213
"123",123,"Most of these people were  released .",21.875,21.875,16,15.1520075677559,10.4682058316281
"124",124,"He grabs everybody and tells them that they found the Commissioner and they  found  Chief Ganci and they were both killed.",27.3333333333333,14,15,7.03731550548997,25.298221281347
"125",125,"Uh, eventually I was able to  get  transferred to another assignment where I was working with uh, uh, sandblasting on the same shells, but uh, just two at a time, putting them in a sandblasting machine, taking them out, putting them back on the, on the, on the wagon.",26,22,15,9.102589898328,16.9873902813654
"126",126,"So we had a lot of Fire personnel and anybody else that usually  shows  up, emergency personnel, in the lobby.",15.2941176470588,15.2941176470588,17,18.411153908305,10.6757008311068
"127",127,"When I gave that sign it had to wait for them to let me know that they  got  the signal When it went on the commander, this Sidik came close to me, and I pardon, I was trying to see if I could hold the gun in one hand.",5.2,4.4,25,29.5972971738975,11.5758369027902
"128",128,"Even to this day when I take some of those texts I can not believe that I  wrote  that.",26.6666666666667,1.33333333333333,15,6.17213399848368,28.2505794293717
"129",129,"I was very -LSB- unclear -RSB- I  mean , the AK47's had for instance different coloured bullets - NO SOUND ON TAPE - NO TRANSCRIPTION POSSIBLE FOR A FEW DEGREES But I did n't even know.",4.44444444444444,2.77777777777778,18,26.3956819601955,15.264551613058
"130",130,"My tasks were to  read  the confessions of the victims and to report to Son Sen in order to get instructions by telephone according to each case.",24.6666666666667,26.6666666666667,15,15.9761727343596,8.99735410842437
"131",131,"` ` Oh'', the managers say, ` ` we're not busy'' and we were busy as a bee, you  know , manufacturing shoes.",7.5,10.625,16,23.8047614284762,14.3614066163451
"132",132,"In my office I  have  the entire Dream speech, you know - the Dream speech.",28.6666666666667,28.6666666666667,15,5.16397779494322,5.16397779494322
"133",133,"Please note that Christophe Peschoux told me I could be imprisoned in Belgium and gave me 50 dollars for the Taxi to Thailand where INTERPOL was to organise my  transfer  to Belgium.",17.0588235294118,13.5294117647059,17,18.962036376123,15.7881191369445
"134",134,"So to  survive  on this territorry through technical support.",13.5294117647059,11.1764705882353,17,19.0201131932056,14.0900465494159
"135",135,"I ran into the lobby cause I had no idea what had happened and the cops that were in there were telling everybody get out,  get  out, get out.",17.0588235294118,10.5882352941176,17,23.3892886494953,21.3514016622136
"136",136,"They were required to . . . They were  required  to, to, to bring it to them -- whatever their central area.",16.4705882352941,14.7058823529412,17,23.4363970328708,18.0684971216561
"137",137,"And when it comes to Jablanica, I  pass  through Jablanica quite often since I have a house up there.",26,26,15,7.36788397613007,7.36788397613007
"138",138,"Her married name is  Zeljic .",26.6666666666667,26.6666666666667,15,8.99735410842437,8.99735410842437
"139",139,"Just by me directing them in that direction and being -- using the tone of voice that I did, it helped them because they approached -- but they did n't find the men they were looking for, they were being taken  care  of.",17.2222222222222,8.33333333333333,18,22.9591851555437,21.2132034355964
"140",140,"I don't know from where they got those laws, but this law  came  out all of a sudden that even those few families had to leave the, the city.",7.64705882352941,8.82352941176471,17,28.8377815904557,19.0007739780438
"141",141,"Since the beginning of the  war  and until 1979, I saw Vietnamese war prisoners coming.",26.6666666666667,18.6666666666667,15,7.23746864455746,20.9988661825438
"142",142,"I would have . . . I do not  know  for how many years, but now it is different.",-7.33333333333333,-6.66666666666667,15,29.1465917308321,16.7616341969505
"143",143,"Uh, uh, or they would take us at  times  to um, when they brought in new transports, the places were called uh, in Birkenau where they called Kanada II -- bring stuff back or sor . . . or work there for a few hours in the sorting.",11.875,6.25,16,20.0727842280703,18.2117178395303
"144",144,"I don't know from where they  got  those laws, but this law came out all of a sudden that even those few families had to leave the, the city.",-8.75,6.875,16,28.7228132326901,14.0089257261219
"145",145,"For foreigners they asked, what was their intention in coming to Cambodia, and had them  speak  in their language for broadcast back to their country, just to let them know they had entered Cambodia and confessed.",25.625,15.625,16,15.0416089564913,23.3719917850405
"146",146,"The one thing I recall, was n't all bad, was that it was the first time we  had  a garden, a proper garden.",23.75,20,16,15.8640053790544,17.5119007154183
"147",147,"But the permanent -LSB- usual -RSB- one was Chan ; but -LSB- he -RSB- did not interrogate along with the interrogators, it was  different , but when leaving the interrogation room it was all covered with blankets, I just saw their feet ; that was internal.",20.625,7.5,16,20.1556443707464,24.8997991959775
"148",148,"I don't know if he was a security person or -- I remember his face, I just don't remember -- I  remember  looking at his ID.",16.25,8.75,16,23.629078131263,22.7669350887056
"149",149,"Since he was the previous physician on call and first on the scene, I figured I would let him take the lead and let him  direct  me as to where he wanted me to go.",19.375,19.375,16,15.6923548264752,11.2361025271221
"150",150,"That here were people who fought for freedom, who were willing to be tortured and go to jail and give up their lives and yet did n't speak up once they were in power against a  policy  which they knew in their heart of hearts, must be wrong.",21.25,1.25,16,16.6833250083229,25.2652594155163
"151",151,"The court  decided  on the punishment, and minister is stronger than the main court.",23.0769230769231,23.0769230769231,13,17.9743406854583,13.1558702896054
"152",152,"Looking for whoever we could  find .",9.28571428571429,11.4285714285714,14,23.0265016930445,11.6732059119908
"153",153,"The word ` ` resolve'' was used under Vorn Vet whereas under Son Sen, we used ` `  smash ''.",23.3333333333333,23.3333333333333,12,12.3091490979333,12.3091490979333
"154",154,"Even today, I don't, I try, but I still  find  myself not talking to them about my experiences, no automatic discussions.",16.9230769230769,2.30769230769231,13,22.1301511459725,23.858557568109
"155",155,"FW  had  a bit of foresight to see that.",22.3076923076923,22.3076923076923,13,16.9085018821135,11.6575055606865
"156",156,"Those are the reasons I was satisfied to  disseminate  those orders.",20,15.7142857142857,14,21.8385685639668,19.1006587539583
"157",157,"And then I moved to the American sector to a  placed  called to Frankfurt Am Main and that was already a whole ci . . . whole Jewish city -- a Jewish community.",12.3076923076923,12.3076923076923,13,19.2153784566105,14.8064435037847
"158",158,"I said okay, before we leave the house,  let 's get a shot out here.",17.6923076923077,13.0769230769231,13,17.3943698524581,17.5045781557356
"159",159,"The uh, Block lteste was a Hungarian older Jew and he tolerated me  staying  in there.",19.2857142857143,12.1428571428571,14,21.6490489093937,20.8210586550368
"160",160,"My aunt's second husband and he had  left  a family in Russia, he didn't know what was going on, but anyway, we, we, we, we got along pretty well.",25,18.3333333333333,12,10,20.3752672412294
"161",161,"But they had n't you  know  done anything to students.",12.1428571428571,-6.42857142857143,14,21.1872862561749,16.9193302545856
"162",162,"I went there once to give an education session, once with Hor to meet the 30 ` ` liberal'' combatants who were to be sent to the tank unit, once to  visit  Huy in his house and another time where I met Huy who was cultivating sweet potatoes.",28.3333333333333,23.3333333333333,12,5.77350269189626,17.7525072919719
"163",163,"I played the piano um, we went on vacations and it was just  beautiful  to live there.",23.8461538461538,23.8461538461538,13,16.6024403519792,11.2089707663561
"164",164,"So I went back and that was on -- where I met them was on Fulton Street and Broadway, right here, so I just went back here where I was and I saw that it was -- it had  collapsed , the north tower had collapsed.",26.6666666666667,21.6666666666667,12,8.87625364598595,18.5047086554812
"165",165,"Because this very good friend, the one who, who came to us on the Crystal Night he had died and I  felt  that he was the heart of Vienna as far as I was concerned.",20,15.3846153846154,13,17.7951304200522,18.536173919926
"166",166,"Uh, uh, or they would  take  us at times to um, when they brought in new transports, the places were called uh, in Birkenau where they called Kanada II -- bring stuff back or sor . . . or work there for a few hours in the sorting.",16.6666666666667,9.16666666666667,12,18.7487373312218,21.9330938551907
"167",167,"The consequences are there, many ask me - Did your husband worry a lot and is that the reason he  died .",10,12.3076923076923,13,27.9880927062444,18.7766904049703
"168",168,"To  sum  up, I do not trust my memory any more and to get back to K Kim Huot's confession, I would say, on the fact that he was forced to eat his own excrement for instance, that if I rely only on my memory, I would tend to refuse the idea that I was aware of it.",6.66666666666667,2.5,12,24.9848438906955,20.5049883066181
"169",169,"I  took  my LSU knowing that if I had to get out and -- to set up a triage area some place, I had to be ready to go at any moment.",25.8333333333333,25.8333333333333,12,7.92961461098759,7.92961461098759
"170",170,"I  specify  that although I respected Son Sen and Vorn Vet, I feared Nuon Chea.",24.6153846153846,21.5384615384615,13,16.6410058867569,16.7561699313784
"171",171,"I  went  up to Broadway by City Hall Park.",25.3846153846154,25.3846153846154,13,16.6410058867569,11.2660142429822
"172",172,"For a while, he could n't go in actually either, because they might have known we'd been  married  and we separated.",16.1538461538462,15.3846153846154,13,21.8091958962504,16.6410058867569
"173",173,"I maintain that my superiors had assigned me the confessions ; Comrade Hor was in charge of the establishment of lists, the  logistics  and transfer of prisoners to be executed.",17.8571428571429,17.8571428571429,14,22.2498302253061,14.7692880035521
"174",174,"I met him at the corner and at that point we were literally thinking of going back towards 1 World Trade, knowing that the command post was there, stopped ourselves thinking we've got to be  smart  about this, this is something else that might come down, and as we had thought that, the sound before the sight coming, saw the second tower actually come down and then heard it afterwards, at which point all of us turned north and started running.",18.4615384615385,13.8461538461538,13,17.7229389239642,18.0455264717055
"175",175,"Someone always had to lead people, like in this  war  those were our leaders, commanders and all, but never just someone who just stood still.",20,22.3076923076923,13,22.3606797749979,13.0088727117598
"176",176,"I think some people had gone out there and stopped to watch what was going on after the first building came down, because it  looked  like if they had gotten that far and the buildings came down they should have kept running.",13.0769230769231,9.23076923076923,13,20.5688337801861,17.0594736444487
"177",177,"It was the beginning of the big  uprising  and then one day suddenly it just exploded.",21.6666666666667,20.8333333333333,12,17.4945879077104,16.2135371797393
"178",178,"I told them I ca n't force you, but I don't  know  if we are going to be safe here.",-0.769230769230769,-9.23076923076923,13,29.0004420832794,14.978617237882
